130.191.18.232	edcenter-dyn-18-232.sdsu.edu
130.191.18.233	edcenter-dyn-18-233.sdsu.edu
130.191.18.234	edcenter-dyn-18-234.sdsu.edu
130.191.18.235	edcenter-dyn-18-235.sdsu.edu
130.191.18.236	edcenter-dyn-18-236.sdsu.edu
130.191.18.237	edcenter-dyn-18-237.sdsu.edu
130.191.18.238	edcenter-dyn-18-238.sdsu.edu
130.191.18.239	edcenter-dyn-18-239.sdsu.edu
130.191.18.240	edcenter-dyn-18-240.sdsu.edu
130.191.18.241	edcenter-dyn-18-241.sdsu.edu
130.191.18.242	edcenter-dyn-18-242.sdsu.edu
130.191.18.243	edcenter-dyn-18-243.sdsu.edu
130.191.18.244	edcenter-dyn-18-244.sdsu.edu
130.191.18.245	edcenter-dyn-18-245.sdsu.edu
130.191.18.246	edcenter-dyn-18-246.sdsu.edu
130.191.18.247	edcenter-dyn-18-247.sdsu.edu
130.191.18.248	edcenter-dyn-18-248.sdsu.edu
130.191.18.249	edcenter-dyn-18-249.sdsu.edu
130.191.19.1	finqa.sdsu.edu
130.191.19.2	finstg.sdsu.edu
130.191.19.5	fintst.sdsu.edu
130.191.19.11	franklin.sdsu.edu
130.191.19.30	galadriel.sdsu.edu
130.191.19.37	tmsds.sdsu.edu
130.191.19.38	agbell.sdsu.edu
130.191.19.39	tmssdsu.sdsu.edu
130.191.19.46	sequoyah.sdsu.edu
130.191.19.48	eca.sdsu.edu
130.191.19.64	hamilton.sdsu.edu
130.191.19.65	finxps.sdsu.edu
130.191.19.66	finadlinux.sdsu.edu
130.191.19.81	pythagoras.sdsu.edu
130.191.19.82	tecumseh.sdsu.edu
130.191.19.83	torvald.ad.tns.sdsu.edu
130.191.19.84	fibonacci.sdsu.edu
130.191.19.88	wheatstone.sdsu.edu
130.191.19.90	maxfield.sdsu.edu
130.191.19.91	munson.sdsu.edu
130.191.19.92	mason.sdsu.edu
130.191.19.129	finqadb.sdsu.edu
130.191.19.130	finstgdb.sdsu.edu
130.191.19.131	ekans2.sdsu.edu
130.191.19.132	fintstdb.sdsu.edu
130.191.20.5	fenile.sdsu.edu
130.191.20.30	ping.sdsu.edu
130.191.20.31	papershredder.sdsu.edu
130.191.20.32	wasctest.sdsu.edu
130.191.20.33	pong.sdsu.edu
130.191.21.57	msdev.sdsu.edu
130.191.21.58	msdev2.sdsu.edu
130.191.21.75	scarlet.sdsu.edu
130.191.21.87	faculty-room.sdsu.edu
130.191.21.100	demo0.sdsu.edu
130.191.21.101	demo1.sdsu.edu
130.191.21.102	demo2.sdsu.edu
130.191.21.103	demo3.sdsu.edu
130.191.21.171	dlowenst.sdsu.edu
130.191.21.172	prana.sdsu.edu
